id,iupac,formula,trivial,casrn,inchikey,subcat_id,
183,"2,5,5-trimethylheptane",C<sub>10</sub>H<sub>22</sub>,,1189-99-7,SOYLPZSOEXZMLE-UHFFFAOYSA-N,11,
184,"3,3,4-trimethylheptane",C<sub>10</sub>H<sub>22</sub>,,20278-87-9,WRBHKVWLEIYLDZ-UHFFFAOYSA-N,11,
185,"3,3,5-trimethylheptane",C<sub>10</sub>H<sub>22</sub>,,7154-80-5,VRVRZZWPKABUOE-UHFFFAOYSA-N,11,
186,"3,4,4-trimethylheptane",C<sub>10</sub>H<sub>22</sub>,,20278-88-0,BLNBSBLKPFFJKQ-UHFFFAOYSA-N,11,
187,"3,4,5-trimethylheptane",C<sub>10</sub>H<sub>22</sub>,,20278-89-1,LJIIBBYARMPSMT-UHFFFAOYSA-N,11,
188,3-ethyl-2-methylheptane,C<sub>10</sub>H<sub>22</sub>,,14676-29-0,NKMJCVVUYDKHAV-UHFFFAOYSA-N,11,
189,4-ethyl-2-methylheptane,C<sub>10</sub>H<sub>22</sub>,,52896-88-5,OJDKRASKNKPYDH-UHFFFAOYSA-N,11,
190,5-ethyl-2-methylheptane,C<sub>10</sub>H<sub>22</sub>,,13475-78-0,DGEMPTLPTFNEHJ-UHFFFAOYSA-N,11,
191,3-ethyl-3-methylheptane,C<sub>10</sub>H<sub>22</sub>,,17302-01-1,HSOMNBKXPGCNBH-UHFFFAOYSA-N,11,
192,4-ethyl-3-methylheptane,C<sub>10</sub>H<sub>22</sub>,,52896-89-6,BTGGSWBKRYMHQK-UHFFFAOYSA-N,11,
193,3-ethyl-5-methylheptane,C<sub>10</sub>H<sub>22</sub>,,52896-90-9,VXARVYMIZCGZGG-UHFFFAOYSA-N,11,
194,3-ethyl-4-methylheptane,C<sub>10</sub>H<sub>22</sub>,,52896-91-0,JZBKRUIGSVOOIC-UHFFFAOYSA-N,11,
195,4-ethyl-4-methylheptane,C<sub>10</sub>H<sub>22</sub>,,17302-04-4,MPYQJQDSICRCJJ-UHFFFAOYSA-N,11,
196,4-propylheptane,C<sub>10</sub>H<sub>22</sub>,,3178-29-8,ABYGSZMCWVXFCQ-UHFFFAOYSA-N,11,
197,4-(1-methylethyl)-heptane,C<sub>10</sub>H<sub>22</sub>,4-isopropylheptane,52896-87-4,AZLAWGCUDHUQDB-UHFFFAOYSA-N,11,
198,"2,2,3,3-tetramethylhexane",C<sub>10</sub>H<sub>22</sub>,,13475-81-5,RMQHJMMCLSJULX-UHFFFAOYSA-N,11,
199,"2,2,3,4-tetramethylhexane",C<sub>10</sub>H<sub>22</sub>,,52897-08-2,MHPSPNGWFAGBNH-UHFFFAOYSA-N,11,
200,"2,2,3,5-tetramethylhexane",C<sub>10</sub>H<sub>22</sub>,,52897-09-3,GCFKTDRTZYDRBI-UHFFFAOYSA-N,11,
201,"2,2,4,4-tetramethylhexane",C<sub>10</sub>H<sub>22</sub>,,51750-65-3,PXHNHTBJHHSVPT-UHFFFAOYSA-N,11,
202,"2,2,4,5-tetramethylhexane",C<sub>10</sub>H<sub>22</sub>,,16747-42-5,KDRZICOOQNIJDN-UHFFFAOYSA-N,11,
