id,iupac,formula,trivial,casrn,inchikey,subcat_id,
3648,ponsol red violet 2rnx,C<sub>21</sub>H<sub>8</sub>Cl<sub>3</sub>NO<sub>3</sub>,,6373-31-5,SQAQTWYUQXFOMH-UHFFFAOYSA-N,45,
3649,dimethomorph,C<sub>21</sub>H<sub>22</sub>NO<sub>4</sub>Cl,,110488-70-5,QNBTYORWCCMPQP-JXAWBTAJSA-N,45,
3650,aripiprazole,C<sub>23</sub>H<sub>27</sub>Cl<sub>2</sub>N<sub>3</sub>O<sub>2</sub>,,129722-12-9,CEUORZQYGODEFX-UHFFFAOYSA-N,45,
3651,ag-g-86814,C<sub>26</sub>H<sub>6</sub>Cl<sub>8</sub>N<sub>2</sub>O<sub>4</sub>,,30125-47-4,ZEHOVWPIGREOPO-UHFFFAOYSA-N,45,
3652,"8,18-dichloro-5,15-diethyl-5,15-dihydrodiindolo(3,2-b:3'',2''-m)triphenodioxazine",C<sub>34</sub>H<sub>22</sub>Cl<sub>2</sub>N<sub>4</sub>O<sub>2</sub>,,6358-30-1,CGLVZFOCZLHKOH-UHFFFAOYSA-N,45,
3653,fluoroethene,C<sub>2</sub>H<sub>3</sub>F,vinyl fluoride,75-02-5,XUCNUKMRBVNAPB-UHFFFAOYSA-N,46,
3654,"1,2-difluoroethane",C<sub>2</sub>H<sub>4</sub>F<sub>2</sub>,,624-72-6,AHFMSNDOYCFEPH-UHFFFAOYSA-N,46,
3655,trifluoroethene,C<sub>2</sub>HF<sub>3</sub>,,359-11-5,MIZLGWKEZAPEFJ-UHFFFAOYSA-N,46,
3656,"3,3,3-trifluoropropene",C<sub>3</sub>H<sub>3</sub>F<sub>3</sub>,,677-21-4,FDMFUZHCIRHGRG-UHFFFAOYSA-N,46,
3657,"1,1,3,3,3-pentafluoro-2-(trifluoromethyl)-1-propene",C<sub>4</sub>F<sub>8</sub>,perfluoroisobutylene,382-21-8,DAFIBNSJXIGBQB-UHFFFAOYSA-N,46,
3658,decafluorobutane,C<sub>4</sub>F<sub>10</sub>,,355-25-9,KAVGMUDTWQVPDF-UHFFFAOYSA-N,46,
3659,tetradecafluorohexane,C<sub>6</sub>F<sub>14</sub>,perflexane,355-42-0,ZJIJAJXFLBMLCK-UHFFFAOYSA-N,46,
3660,"1,1,1,3,3,3-hexafluoro-2-propanone",C<sub>3</sub>F<sub>6</sub>O,,684-16-2,VBZWSGALLODQNC-UHFFFAOYSA-N,46,
3661,desflurane,C<sub>3</sub>H<sub>2</sub>F<sub>6</sub>O,,57041-67-5,DPYMFVXJLLWWEU-UHFFFAOYSA-N,46,
3662,sevoflurane,C<sub>4</sub>H<sub>3</sub>F<sub>7</sub>O,,28523-86-6,DFEYYRMXOJXZRJ-UHFFFAOYSA-N,46,
3663,metofluthrin,C<sub>18</sub>H<sub>20</sub>F<sub>4</sub>O<sub>3</sub>,,240494-70-6,KVIZNNVXXNFLMU-AATRIKPKSA-N,46,
3664,fluoxymesterone,C<sub>20</sub>H<sub>29</sub>FO<sub>3</sub>,,76-43-7,YLRFCQOZQXIBAB-YXVJBPKESA-N,46,
3665,dexamethasone,C<sub>22</sub>H<sub>29</sub>FO<sub>5</sub>,,50-02-2,UREBDLICKHMUKA-GCMAGEFQSA-N,46,
3666,flocoumafen,C<sub>33</sub>H<sub>25</sub>F<sub>3</sub>O<sub>4</sub>,,90035-08-8,KKBGNYHHEIAGOH-UHFFFAOYSA-N,46,
3667,chlorofluoromethane,CH<sub>2</sub>FCl,R31,593-70-4,XWCDCDSDNJVCLO-UHFFFAOYSA-N,46,
3668,chlorodifluoromethane,CHF<sub>2</sub>Cl,R22,75-45-6,VOPWNXZWBYDODV-UHFFFAOYSA-N,46,
3669,dichlorofluoromethane,CHFCl<sub>2</sub>,R21,75-43-4,UMNKXPULIDJLSU-UHFFFAOYSA-N,46,
3670,chlorotrifluoromethane,CF<sub>3</sub>Cl,R13,75-72-9,AFYPFACVUDMOHA-UHFFFAOYSA-N,46,
3671,dichlorodifluoromethane,CF<sub>2</sub>Cl<sub>2</sub>,R12,75-71-8,PXBRQCKWGAHEHS-UHFFFAOYSA-N,46,
3672,trichlorofluoromethane,CFCl<sub>3</sub>,R11,75-69-4,CYRMSUTZVYGINF-UHFFFAOYSA-N,46,
3673,"1,1,1,2-tetrachlorodifluoroethane",C<sub>2</sub>Cl<sub>4</sub>F<sub>2</sub>,,76-11-9,SLGOCMATMKJJCE-UHFFFAOYSA-N,46,
3674,"1,1,2,2-tetrachlorodifluoroethane",C<sub>2</sub>F<sub>2</sub>Cl<sub>4</sub>,R112,76-12-0,UGCSPKPEHQEOSR-UHFFFAOYSA-N,46,
3675,"1,1,1-trichloro-2,2,2-trifluoroethane",C<sub>2</sub>F<sub>3</sub>Cl<sub>3</sub>,R113a,354-58-5,BOSAWIQFTJIYIS-UHFFFAOYSA-N,46,
3676,"1,1,2-trichloro-1,2,2-trifluoroethane",C<sub>2</sub>F<sub>3</sub>Cl<sub>3</sub>,R113,76-13-1,AJDIZQLSFPQPEY-UHFFFAOYSA-N,46,
3677,"1,1-dichlorotetrafluoroethane",C<sub>2</sub>F<sub>4</sub>Cl<sub>2</sub>,R114a,374-07-2,BAMUEXIPKSRTBS-UHFFFAOYSA-N,46,
3678,"1,2-dichlorotetrafluoroethane",C<sub>2</sub>F<sub>4</sub>Cl<sub>2</sub>,R114,76-14-2,DDMOUSALMHHKOS-UHFFFAOYSA-N,46,
3679,chloropentafluoroethane,C<sub>2</sub>F<sub>5</sub>Cl,R115,76-15-3,RFCAUADVODFSLZ-UHFFFAOYSA-N,46,
3680,"1,1,2,2-tetrachloro-1-fluoroethane",C<sub>2</sub>HCl<sub>4</sub>F,,354-14-3,LUBCGHUOCJOIJA-UHFFFAOYSA-N,46,
3681,"1,1-dichloro-1,2,2-trifluoroethane",C<sub>2</sub>HCl<sub>2</sub>F<sub>3</sub>,,812-04-4,AFTSHZRGGNMLHC-UHFFFAOYSA-N,46,
3682,"1,2-dichloro-1,1,2-trifluoroethane",C<sub>2</sub>HCl<sub>2</sub>F<sub>3</sub>,,354-23-4,YMRMDGSNYHCUCL-UHFFFAOYSA-N,46,
3683,"2,2-dichloro-1,1,1-trifluoroethane",C<sub>2</sub>HF<sub>3</sub>Cl<sub>2</sub>,R123,306-83-2,OHMHBGPWCHTMQE-UHFFFAOYSA-N,46,
3684,"1-chloro-1,1,2,2-tetrafluoroethane",C<sub>2</sub>HClF<sub>4</sub>,,354-25-6,JQZFYIGAYWLRCC-UHFFFAOYSA-N,46,
3685,"1-chloro-1,2,2,2-tetrafluoroethane",C<sub>2</sub>HF<sub>4</sub>Cl,R124,2837-89-0,BOUGCJDAQLKBQH-UHFFFAOYSA-N,46,
3686,"1,2-dichloro-1,1-difluoroethane",C<sub>2</sub>H<sub>2</sub>Cl<sub>2</sub>F<sub>2</sub>,,1649-08-7,SKDFWEPBABSFMG-UHFFFAOYSA-N,46,
3687,"2-chloro-1,1,1-trifluoroethane",C<sub>2</sub>H<sub>2</sub>F<sub>3</sub>Cl,R133a,75-88-7,CYXIKYKBLDZZNW-UHFFFAOYSA-N,46,
3688,"1,1-dichloro-1-fluoroethane",CH<sub>3</sub>CFCl<sub>2</sub>,R141b,1717-00-6,FRCHKSNAZZFGCA-UHFFFAOYSA-N,46,
3689,"1-chloro-1,1-difluoroethane",CH<sub>3</sub>CF<sub>2</sub>Cl,R142b,75-68-3,BHNZEZWIUMJCGF-UHFFFAOYSA-N,46,
3690,"1-chloro-1,2-difluoroethane",C<sub>2</sub>H<sub>3</sub>ClF<sub>2</sub>,,338-64-7,UOVSDUIHNGNMBZ-UHFFFAOYSA-N,46,
3691,"1-chloro-1,1,2-trifluoroethane",C<sub>2</sub>H<sub>2</sub>F<sub>3</sub>Cl,R133b,421-04-5,HILNUELUDBMBJQ-UHFFFAOYSA-N,46,
3692,"2-chloro-1,1-difluoroethene",C<sub>2</sub>HClF<sub>2</sub>,R1122,359-10-4,HTHNTJCVPNKCPZ-UHFFFAOYSA-N,46,
3693,chlorotrifluoroethene,C<sub>2</sub>ClF<sub>3</sub>,,79-38-9,UUAGAQFQZIEFAH-UHFFFAOYSA-N,46,
3694,"3,3-dichloro-1,1,1,2,2-pentafluoropropane",CF<sub>3</sub>CF<sub>2</sub>CHCl<sub>2</sub>,R225ca,422-56-0,COAUHYBSXMIJDK-UHFFFAOYSA-N,46,
3695,"1,3-dichloro-1,1,2,2,3-pentafluoro-propane",CClF<sub>2</sub>CF<sub>2</sub>CHClF,R225cb,507-55-1,UJIGKESMIPTWJH-UHFFFAOYSA-N,46,
3696,1-chloro-3-(trifluoromethyl)benzene,C<sub>7</sub>H<sub>4</sub>ClF<sub>3</sub>,,98-15-7,YTCGOUNVIAWCMG-UHFFFAOYSA-N,46,
3697,1-chloro-4-(trifluoromethyl)benzene,C<sub>7</sub>H<sub>4</sub>ClF<sub>3</sub>,,98-56-6,QULYNCCPRWKEMF-UHFFFAOYSA-N,46,
3698,3-chloro-4-fluorobenzotrifluoride,C<sub>7</sub>H<sub>3</sub>ClF<sub>4</sub>,,78068-85-6,BKHVEYHSOXVAOP-UHFFFAOYSA-N,46,
3699,"3,4-dichlorobenzotrifluoride",C<sub>7</sub>H<sub>3</sub>Cl<sub>2</sub>F<sub>3</sub>,,328-84-7,XILPLWOGHPSJBK-UHFFFAOYSA-N,46,
3700,chlorodifluoroethanoic acid,CF<sub>2</sub>ClCOOH,chlorodifluoroacetic acid,76-04-0,OAWAZQITIZDJRB-UHFFFAOYSA-N,46,
3701,carbonic chloride fluoride,COFCl,,353-49-1,OXVVNXMNLYYMOL-UHFFFAOYSA-N,46,
3703,"2,2-dichloro-1,1-difluoro-1-methoxyethane",C<sub>3</sub>H<sub>4</sub>Cl<sub>2</sub>F<sub>2</sub>O,methoxyflurane,76-38-0,RFKMCNOHBTXSMU-UHFFFAOYSA-N,46,
3704,"1-chloro-2,2,2-trifluoroethyl difluoromethyl ether",C<sub>3</sub>H<sub>2</sub>ClF<sub>5</sub>O,forane; isoflurane,26675-46-7,PIWKPBJCKXDKJR-UHFFFAOYSA-N,46,
3705,"2-chloro-1,1,2-trifluoroethyl difluoromethyl ether",C<sub>3</sub>H<sub>2</sub>ClF<sub>5</sub>O,enflurane,13838-16-9,JPGQOUSTVILISH-UHFFFAOYSA-N,46,
3706,3-[2-chloro-4-(trifluoromethyl)phenoxy]benzoic acid,C<sub>14</sub>H<sub>8</sub>ClF<sub>3</sub>O<sub>3</sub>,,63734-62-3,ONKRUAQFUNKYAX-UHFFFAOYSA-N,46,
3707,3-(2-chloro-4-(trifluoromethyl)phenoxy)phenyl acetate,C<sub>15</sub>H<sub>10</sub>ClF<sub>3</sub>O<sub>3</sub>,,50594-77-9,KNFRYRRZMRETJX-UHFFFAOYSA-N,46,
3708,tefluthrin,C<sub>17</sub>H<sub>14</sub>O<sub>2</sub>ClF<sub>7</sub>,,79538-32-2,ZFHGXWPMULPQSE-GPCIZFCYSA-N,46,
3709,clobetasol,C<sub>22</sub>H<sub>28</sub>ClFO<sub>4</sub>,,25122-41-2,FCSHDIVRCWTZOX-DVTGEIKXSA-N,46,
3710,EINECS 273-236-7,C<sub>28</sub>H<sub>33</sub>Cl<sub>3</sub>F<sub>6</sub>O<sub>11</sub>,,68954-01-8,KVXVLCBFSKMBAR-UHFFFAOYSA-N,46,
3711,4-fluoroaniline,C<sub>6</sub>H<sub>6</sub>FN,,371-40-4,KRZCOLNOCZKSDF-UHFFFAOYSA-N,46,
3712,N-ethyl-1-[3-(trifluoromethyl)phenyl]-2-propanamine,C<sub>12</sub>H<sub>16</sub>F<sub>3</sub>N,fenfluramine,458-24-2,DBGIVFWFUFKIQN-UHFFFAOYSA-N,46,
3713,cinacalcet,C<sub>22</sub>H<sub>22</sub>F<sub>3</sub>N,,226256-56-0,VDHAWDNDOKGFTD-MRXNPFEDSA-N,46,
3714,hydramethylnon,C<sub>25</sub>H<sub>24</sub>F<sub>6</sub>N<sub>4</sub>,,67485-29-4,IQVNEKKDSLOHHK-FNCQTZNRSA-N,46,
3715,"3,5-dichloro-2,4,6-trifluoropyridine",C<sub>5</sub>Cl<sub>2</sub>F<sub>3</sub>N,,1737-93-5,PKSORSNCSXBXOT-UHFFFAOYSA-N,46,
3716,chlorodifluoronitrooxymethane,CClF<sub>2</sub>OONO<sub>2</sub>,,70490-95-8,HWHZTSGXJYKIPK-UHFFFAOYSA-N,46,
3717,1-chloro-2-nitro-4-(trifluoromethyl)-benzene,C<sub>7</sub>H<sub>3</sub>ClF<sub>3</sub>NO<sub>2</sub>,,121-17-5,TZGFQIXRVUHDLE-UHFFFAOYSA-N,46,
3718,"2-chloro-1,3-dinitro-5-(trifluoromethyl)-benzene",C<sub>7</sub>H<sub>2</sub>ClF<sub>3</sub>N<sub>2</sub>O<sub>4</sub>,,393-75-9,HFHAVERNVFNSHL-UHFFFAOYSA-N,46,
3719,fluroxypyr,C<sub>7</sub>H<sub>5</sub>Cl<sub>2</sub>FN<sub>2</sub>O<sub>3</sub>,,69377-81-7,MEFQWPUMEMWTJP-UHFFFAOYSA-N,46,
3720,norflurazon,C<sub>12</sub>H<sub>9</sub>ClF<sub>3</sub>N<sub>3</sub>O,,27314-13-2,NVGOPFQZYCNLDU-UHFFFAOYSA-N,46,
3721,fluchloralin,C<sub>12</sub>H<sub>13</sub>ClF<sub>3</sub>N<sub>3</sub>O<sub>4</sub>,,33245-39-5,MNFMIVVPXOGUMX-UHFFFAOYSA-N,46,
3722,fluazinam,C<sub>13</sub>H<sub>4</sub>Cl<sub>2</sub>F<sub>6</sub>N<sub>4</sub>O<sub>4</sub>,,79622-59-6,UZCGKGPEKUCDTF-UHFFFAOYSA-N,46,
3723,5-(2-chloro-4-(trifluoromethyl)phenoxy)-2-nitrophenol,C<sub>13</sub>H<sub>7</sub>ClF<sub>3</sub>NO<sub>4</sub>,,42874-63-5,WYTRKEWETULQOA-UHFFFAOYSA-N,46,
3724,tetraconazole,C<sub>13</sub>H<sub>11</sub>Cl<sub>2</sub>F<sub>4</sub>N<sub>3</sub>O,,112281-77-3,LQDARGUHUSPFNL-UHFFFAOYSA-N,46,
3725,fluopicolide,C<sub>14</sub>H<sub>8</sub>Cl<sub>3</sub>F<sub>3</sub>N<sub>2</sub>O,,239110-15-7,GBOYJIHYACSLGN-UHFFFAOYSA-N,46,
3726,difluron,C<sub>14</sub>H<sub>9</sub>ClF<sub>2</sub>N<sub>2</sub>O<sub>2</sub>,,35367-38-5,QQQYTWIFVNKMRW-UHFFFAOYSA-N,46,
3727,efavirenz,C<sub>14</sub>H<sub>9</sub>ClF<sub>3</sub>NO<sub>2</sub>,,154598-52-4,XPOQHMRABVBWPR-ZDUSSCGKSA-N,46,
3728,quinoxyfen,C<sub>15</sub>H<sub>8</sub>Cl<sub>2</sub>FNO,,124495-18-7,WRPIRSINYZBGPK-UHFFFAOYSA-N,46,
3729,5-(2-chloro-4-(trifluoromethyl)phenoxy)-2-nitrophenyl acetate,C<sub>15</sub>H<sub>9</sub>ClF<sub>3</sub>NO<sub>5</sub>,,50594-44-0,PSWSPFSDVZVVDC-UHFFFAOYSA-N,46,
3730,oxyfluorfen,C<sub>15</sub>H<sub>11</sub>ClF<sub>3</sub>NO<sub>4</sub>,,42874-03-3,OQMBBFQZGJFLBU-UHFFFAOYSA-N,46,
3731,pyraflufen-ethyl,C<sub>15</sub>H<sub>13</sub>Cl<sub>2</sub>F<sub>3</sub>N<sub>2</sub>O<sub>4</sub>,,129630-19-9,APTZNLHMIGJTEW-UHFFFAOYSA-N,46,
3732,carfentrazone ethyl,C<sub>15</sub>H<sub>14</sub>Cl<sub>2</sub>F<sub>3</sub>N<sub>3</sub>O<sub>3</sub>,,128639-02-1,MLKCGVHIFJBRCD-UHFFFAOYSA-N,46,
3733,triflumizole,C<sub>15</sub>H<sub>15</sub>ClF<sub>3</sub>N<sub>3</sub>O,,99387-89-0,HSMVPDGQOIQYSR-UHFFFAOYSA-N,46,
3734,"3-(2,4-dichlorophenyl)-6-fluoro-2-(1H-1,2,4-triazol-1-yl)-quinazolin-4(3H)-one",C<sub>16</sub>H<sub>8</sub>Cl<sub>2</sub>FN<sub>5</sub>O,fluquinconazole,136426-54-5,IJJVMEJXYNJXOJ-UHFFFAOYSA-N,46,
3735,hexaflumuron,C<sub>16</sub>H<sub>8</sub>Cl<sub>2</sub>F<sub>6</sub>N<sub>2</sub>O<sub>3</sub>,,86479-06-3,RGNPBRKPHBKNKX-UHFFFAOYSA-N,46,
3736,nuarimol,C<sub>17</sub>H<sub>12</sub>ClFN<sub>2</sub>O,,63284-71-9,SAPGTCDSBGMXCD-UHFFFAOYSA-N,46,
3737,clodinafop-propargyl,C<sub>17</sub>H<sub>13</sub>ClFNO<sub>4</sub>,,105512-06-9,JBDHZKLJNAIJNC-LLVKDONJSA-N,46,
3738,flamprop-methyl,C<sub>17</sub>H<sub>15</sub>ClFNO<sub>3</sub>,,52756-25-9,RBNIGDFIUWJJEV-UHFFFAOYSA-N,46,
3739,pyridalyl,C<sub>18</sub>H<sub>14</sub>Cl<sub>4</sub>F<sub>3</sub>NO<sub>3</sub>,,179101-81-6,UBSUICNYBBPFHD-UHFFFAOYSA-N,46,
3740,lactofen,C<sub>19</sub>H<sub>15</sub>ClF<sub>3</sub>NO<sub>7</sub>,,77501-63-4,CONWAEURSVPLRM-UHFFFAOYSA-N,46,
3741,chlorfluazuron,C<sub>20</sub>H<sub>9</sub>Cl<sub>3</sub>F<sub>5</sub>N<sub>3</sub>O<sub>3</sub>,,71422-67-8,UISUNVFOGSJSKD-UHFFFAOYSA-N,46,
3742,fluazuron,C<sub>20</sub>H<sub>10</sub>N<sub>3</sub>O<sub>3</sub>Cl<sub>2</sub>F<sub>5</sub>,,86811-58-7,YOWNVPAUWYHLQX-UHFFFAOYSA-N,46,
3743,flufenoxuron,C<sub>21</sub>H<sub>11</sub>ClF<sub>6</sub>N<sub>2</sub>O<sub>3</sub>,,101463-69-8,RYLHNOVXKPXDIP-UHFFFAOYSA-N,46,
3744,fluoxastrobin,C<sub>21</sub>H<sub>16</sub>N<sub>4</sub>O<sub>5</sub>ClF,,361377-29-9,UFEODZBUAFNAEU-NLRVBDNBSA-N,46,
3745,haloperidol,C<sub>21</sub>H<sub>23</sub>ClFNO<sub>2</sub>,,52-86-8,LNEPOXFFQSENCJ-UHFFFAOYSA-N,46,
3746,indoxacarb,C<sub>22</sub>H<sub>17</sub>ClF<sub>3</sub>N<sub>3</sub>O<sub>7</sub>,,173584-44-6,VBCVPMMZEGZULK-NRFANRHFSA-N,46,
3747,cyfluthrin,C<sub>22</sub>H<sub>18</sub>Cl<sub>2</sub>FNO<sub>3</sub>,,68359-37-5,QQODLKZGRKWIFG-UHFFFAOYSA-N,46,
3748,metamifop,C<sub>23</sub>H<sub>18</sub>N<sub>2</sub>O<sub>4</sub>ClF,,256412-89-2,ADDQHLREJDZPMT-CQSZACIVSA-N,46,
3749,cyhalothrin,C<sub>23</sub>H<sub>19</sub>NO<sub>3</sub>ClF<sub>3</sub>,,68085-85-8,ZXQYGBMAQZUVMI-BWHPXCRDSA-N,46,
3750,bifenthrin,C<sub>23</sub>H<sub>22</sub>ClF<sub>3</sub>O<sub>2</sub>,,82657-04-3,OMFRMAHOUUJSGP-UNOMPAQXSA-N,46,
3751,flucycloxuron,C<sub>25</sub>H<sub>20</sub>ClF<sub>2</sub>N<sub>3</sub>O<sub>3</sub>,,94050-52-9,PCKNFPQPGUWFHO-UQRQXUALSA-N,46,
3752,fluvalinate,C<sub>26</sub>H<sub>22</sub>ClF<sub>3</sub>N<sub>2</sub>O<sub>3</sub>,,69409-94-5,INISTDXBRIBGOC-UHFFFAOYSA-N,46,
3755,tribromomethane,CHBr<sub>3</sub>,bromoform,75-25-2,DIKBFYAXUHHXCS-UHFFFAOYSA-N,47,
3756,tetrabromomethane,CBr<sub>4</sub>,,558-13-4,HJUGFYREWKUQJT-UHFFFAOYSA-N,47,
3757,bromoethane,C<sub>2</sub>H<sub>5</sub>Br,,74-96-4,RDHPKYGYEGBMSE-UHFFFAOYSA-N,47,
3758,"1,1-dibromoethane",C<sub>2</sub>H<sub>4</sub>Br<sub>2</sub>,,557-91-5,APQIUTYORBAGEZ-UHFFFAOYSA-N,47,
3759,"1,2-dibromoethane",C<sub>2</sub>H<sub>4</sub>Br<sub>2</sub>,ethylene dibromide,106-93-4,PAAZPARNPHGIKF-UHFFFAOYSA-N,47,
3760,"1,2-dibromoethane-d4",C<sub>2</sub>D<sub>4</sub>Br<sub>2</sub>,ethylene dibromide-d4,22581-63-1,PAAZPARNPHGIKF-LNLMKGTHSA-N,47,
3761,"1,1,2,2-tetrabromoethane",C<sub>2</sub>H<sub>2</sub>Br<sub>4</sub>,,79-27-6,QXSZNDIIPUOQMB-UHFFFAOYSA-N,47,
3762,1-bromopropane,C<sub>3</sub>H<sub>7</sub>Br,,106-94-5,CYNYIHKIEHGYOZ-UHFFFAOYSA-N,47,
3763,2-bromopropane,C<sub>3</sub>H<sub>7</sub>Br,,75-26-3,NAMYKGVDVNBCFQ-UHFFFAOYSA-N,47,
3764,"1,2-dibromopropane",C<sub>3</sub>H<sub>6</sub>Br<sub>2</sub>,,78-75-1,XFNJYAKDBJUJAJ-UHFFFAOYSA-N,47,
3765,"1,3-dibromopropane",C<sub>3</sub>H<sub>6</sub>Br<sub>2</sub>,,109-64-8,VEFLKXRACNJHOV-UHFFFAOYSA-N,47,
3766,1-bromobutane,C<sub>4</sub>H<sub>9</sub>Br,,109-65-9,MPPPKRYCTPRNTB-UHFFFAOYSA-N,47,
3767,2-bromobutane,C<sub>4</sub>H<sub>9</sub>Br,,78-76-2,UPSXAPQYNGXVBF-UHFFFAOYSA-N,47,
3768,1-bromo-2-methylpropane,C<sub>4</sub>H<sub>9</sub>Br,,78-77-3,HLVFKOKELQSXIQ-UHFFFAOYSA-N,47,
3769,2-bromo-2-methylpropane,C<sub>4</sub>H<sub>9</sub>Br,,507-19-7,RKSOPLXZQNSWAS-UHFFFAOYSA-N,47,
3770,1-bromo-3-methylbutane,C<sub>5</sub>H<sub>11</sub>Br,,107-82-4,YXZFFTJAHVMMLF-UHFFFAOYSA-N,47,
3771,"1,4-dibromobutane",C<sub>4</sub>H<sub>8</sub>Br<sub>2</sub>,,110-52-1,ULTHEAFYOOPTTB-UHFFFAOYSA-N,47,
3772,1-bromopentane,C<sub>5</sub>H<sub>11</sub>Br,,110-53-2,YZWKKMVJZFACSU-UHFFFAOYSA-N,47,
3773,1-bromo-2-methylbutane,C<sub>5</sub>H<sub>11</sub>Br,,10422-35-2,XKVLZBNEPALHIO-UHFFFAOYSA-N,47,
3774,1-bromohexane,C<sub>6</sub>H<sub>13</sub>Br,,111-25-1,MNDIARAMWBIKFW-UHFFFAOYSA-N,47,
3775,1-bromo-3-methylpentane,C<sub>6</sub>H<sub>13</sub>Br,,51116-73-5,MDCCBJLCTOTLKM-UHFFFAOYSA-N,47,
3776,bromocyclohexane,C<sub>6</sub>H<sub>11</sub>Br,,108-85-0,AQNQQHJNRPDOQV-UHFFFAOYSA-N,47,
3777,1-bromoheptane,C<sub>7</sub>H<sub>15</sub>Br,,629-04-9,LSXKDWGTSHCFPP-UHFFFAOYSA-N,47,
3778,1-bromooctane,C<sub>8</sub>H<sub>17</sub>Br,,111-83-1,VMKOFRJSULQZRM-UHFFFAOYSA-N,47,
3779,"1,8-dibromooctane",C<sub>8</sub>H<sub>16</sub>Br<sub>2</sub>,,4549-32-0,DKEGCUDAFWNSSO-UHFFFAOYSA-N,47,
3780,"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",C<sub>8</sub>H<sub>12</sub>Br<sub>4</sub>,,3322-93-8,PQRRSJBLKOPVJV-UHFFFAOYSA-N,47,
3781,1-bromononane,C<sub>9</sub>H<sub>19</sub>Br,,693-58-3,AYMUQTNXKPEMLM-UHFFFAOYSA-N,47,
3782,hexabromocyclododecane,C<sub>12</sub>H<sub>18</sub>Br<sub>6</sub>,,3194-55-6,DEIGXXQKDWULML-UHFFFAOYSA-N,47,
3783,vinyl bromide,C<sub>2</sub>H<sub>3</sub>Br,,593-60-2,INLLPKCGLOXCIV-UHFFFAOYSA-N,47,
3784,"1,2-dibromoethene",C<sub>2</sub>H<sub>2</sub>Br<sub>2</sub>,,540-49-8,UWTUEMKLYAGTNQ-UHFFFAOYSA-N,47,
3785,3-bromo-1-propene,C<sub>3</sub>H<sub>5</sub>Br,allyl bromide,106-95-6,BHELZAPQIKSEDF-UHFFFAOYSA-N,47,
3786,3-bromo-1-propyne,C<sub>3</sub>H<sub>3</sub>Br,propargyl bromide,106-96-7,YORCIIVHUBAYBQ-UHFFFAOYSA-N,47,
3787,1-bromocyclohexene,C<sub>6</sub>H<sub>9</sub>Br,,08/08/2044,QBUMXSSCYUMVAW-UHFFFAOYSA-N,47,
3788,1-bromo-4-methylcyclohexene,C<sub>7</sub>H<sub>11</sub>Br,,31053-84-6,inchikey,47,
3789,bromobenzene,C<sub>6</sub>H<sub>5</sub>Br,,108-86-1,QARVLSVVCXYDNA-UHFFFAOYSA-N,47,
3790,bromobenzene-d5,C<sub>6</sub>D<sub>5</sub>Br,,4165-57-5,QARVLSVVCXYDNA-RALIUCGRSA-N,47,
3791,"1,2-dibromobenzene",C<sub>6</sub>H<sub>4</sub>Br<sub>2</sub>,,583-53-9,WQONPSCCEXUXTQ-UHFFFAOYSA-N,47,
3792,"1,3-dibromobenzene",C<sub>6</sub>H<sub>4</sub>Br<sub>2</sub>,,108-36-1,JSRLURSZEMLAFO-UHFFFAOYSA-N,47,
3793,"1,4-dibromobenzene",C<sub>6</sub>H<sub>4</sub>Br<sub>2</sub>,,106-37-6,SWJPEBQEEAHIGZ-UHFFFAOYSA-N,47,
3794,"1,2,4-tribromobenzene",C<sub>6</sub>H<sub>3</sub>Br<sub>3</sub>,,615-54-3,FWAJPSIPOULHHH-UHFFFAOYSA-N,47,
3795,"1,3,5-tribromobenzene",C<sub>6</sub>H<sub>3</sub>Br<sub>3</sub>,,626-39-1,YWDUZLFWHVQCHY-UHFFFAOYSA-N,47,
3796,"1,2,4,5-tetrabromobenzene",C<sub>6</sub>H<sub>2</sub>Br<sub>4</sub>,,636-28-2,QCKHVNQHBOGZER-UHFFFAOYSA-N,47,
3797,hexabromobenzene,C<sub>6</sub>Br<sub>6</sub>,,87-82-1,CAYGQBVSOZLICD-UHFFFAOYSA-N,47,
3798,(bromomethyl)-benzene,C<sub>7</sub>H<sub>7</sub>Br,benzyl bromide,100-39-0,AGEZXYOZHKGVCM-UHFFFAOYSA-N,47,
3799,p-bromobenzyl bromide,C<sub>7</sub>H<sub>6</sub>Br<sub>2</sub>,,589-15-1,YLRBJYMANQKEAW-UHFFFAOYSA-N,47,
3800,1-bromo-2-methylbenzene,BrC<sub>6</sub>H<sub>4</sub>CH<sub>3</sub>,o-bromotoluene,95-46-5,QSSXJPIWXQTSIX-UHFFFAOYSA-N,47,
3801,1-bromo-3-methylbenzene,BrC<sub>6</sub>H<sub>4</sub>CH<sub>3</sub>,m-bromotoluene,591-17-3,WJIFKOVZNJTSGO-UHFFFAOYSA-N,47,
3802,1-bromo-4-methylbenzene,BrC<sub>6</sub>H<sub>4</sub>CH<sub>3</sub>,p-bromotoluene,106-38-7,ZBTMRBYMKUEVEU-UHFFFAOYSA-N,47,
3803,"3,5-dibromotoluene",C<sub>7</sub>H<sub>6</sub>Br<sub>2</sub>,,1611-92-3,DPKKOVGCHDUSAI-UHFFFAOYSA-N,47,
3804,pentabromotoluene,C<sub>7</sub>H<sub>3</sub>Br<sub>5</sub>,,87-83-2,OZHJEQVYCBTHJT-UHFFFAOYSA-N,47,
